Master_ID,Master_Category,Product_Name,Grams,Price_Per_Grams,Selling_Price,Stock,Supplier,Variation_Name_Lazada,Product_ID_Lazada,SKU_ID_Lazada,Key_Lazada,Quantity_Lazada,Product_ID_Shopee,Variation_ID_Shopee,Variation_Name_Shopee,Product_ID_Tiktok,SKU_ID_Tiktok,Variation_Name_Tiktok,Category_Tiktok,Quantity_Tiktok
 ,Earrings,Pawnable 18K Gold Heart Earrings,0.25 - 0.30 ,"9,000.00","3,375.00",1000,668,4.5 mm,851558189,6632922616,2023c9bf643123ab642b70fb76c663c0,999.00,29313041562,178451259334,4.5mm,1734569336651351082,1734569329163535402,4.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Heart Earrings,0.30 - 0.35,"9,000.00","3,937.00",1000,668,5 mm,851558189,2888616615,febfe16722a2bde5734daaacb88db85c,999.00,29313041562,251712411785,5mm,1734569336651351082,1734569329163600938,5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Heart Earrings,0.35 - 0.40,"9,000.00","4,500.00",1000,668,6.5 mm,851558189,132725721202,d082cae31ac648c203daa59e49c1d8c0,"1,000.00",29313041562,272443478402,6.5mm,1734569336651351082,1734569329163666474,6.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Cross Earrings,0.25 - 0.30 ,"9,000.00","3,375.00",1000,668,8 mm,851652287,132725641437,5c8ead4edbdf0ef01e1d5cb2c9cfab4c,999.00,26963359437,187859185917,,1734569355706074154,1734569358746027050,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Star Earrings,0.30- 0.35,"9,000.00","3,937.00",1000,668,7.5 mm,852070569,3111600854,49812d76c007fbad678132db11a0629e,"1,000.00",26913040968,69469637638,7.5mm,1734571402039362602,1734571465522250794,7.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Star Earrings,0.25 - 0.30,"9,000.00","3,375.00",1000,668,5 mm,852070569,5208474119,bbb31821c8614c8a523fb5dbf24cf290,"1,000.00",26913040968,69469637637,5mm,1734571402039362602,1734571465522185258,5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Star Tictac,0.25 - 0.30 ,"9,000.00","3,375.00",1000,668,5 mm,855956066,132744839354,f07dcfc331912dbe804382119b794403,"1,000.00",51407066883,108781098157,,1734601477560632362,1734601479638189098,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Ball Earrings (ROSCAS),0.30 - 0.35,"9,000.00","3,937.00",,668,3 mm,1907330467,28312472825,6a0625f626bd7dc4f07df030814eb9ee,995.00,28619370456,205604946661,,1734609334185722922,1734609473467679786,3mm,Gold Earrings (956808),997
,Earrings,Pawnable 18K Gold Ball Earrings (ROSCAS),0.40 - 0.45,"9,000.00","5,062.00",,668,4 mm,1907330467,28312472826,0ca6c5d8afbb82eddae5b8326a2646c3,999.00,28619370456,205604946662,4mm,1734609334185722922,1734609473467745322,4mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Ball Earrings (ROSCAS),0.45 - 0.50,"9,000.00","5,625.00",,668,5 mm,1907330467,28312472827,e31e98b1b68382faf9184b3fd6316c73,997.00,28619370456,205604946663,5mm,1734609334185722922,1734609473467810858,5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Ball Earrings (ROSCAS),0.65 - 0.70,"9,000.00","7,875.00",,668,6 mm,1907330467,28312472828,128f635c5b90ee74f84b8ba82cf43f4e,"1,000.00",28619370456,205604946664,6mm,1734609334185722922,1734609473467876394,6mm,Gold Earrings (956808),1000
