Master_ID,Master_Category,Product_Name,Grams,Price_Per_Grams,Selling_Price,Stock,Supplier,Variation_Name_Lazada,Product_ID_Lazada,SKU_ID_Lazada,Key_Lazada,Quantity_Lazada,Product_ID_Shopee,Variation_ID_Shopee,Variation_Name_Shopee,Product_ID_Tiktok,SKU_ID_Tiktok,Variation_Name_Tiktok,Category_Tiktok,Quantity_Tiktok
 ,Earrings,Pawnable 18K Gold Heart Earrings,0.25 - 0.30 ,9000,3375,,668,4.5 mm,851558189,6632922616,2023c9bf643123ab642b70fb76c663c0,999,29313041562,178451259334,4.5mm,1734569336651351082,1734569329163535402,4.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Heart Earrings,0.30 - 0.35,9000,3937,,668,5 mm,851558189,2888616615,febfe16722a2bde5734daaacb88db85c,999,29313041562,251712411785,5mm,1734569336651351082,1734569329163600938,5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Heart Earrings,0.35 - 0.40,9000,4500,,668,6.5 mm,851558189,132725721202,d082cae31ac648c203daa59e49c1d8c0,1000,29313041562,272443478402,6.5mm,1734569336651351082,1734569329163666474,6.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Cross Earrings,0.25 - 0.30 ,9000,3375,,668,8 mm,851652287,132725641437,5c8ead4edbdf0ef01e1d5cb2c9cfab4c,999,26963359437,187859185917,,1734569355706074154,1734569358746027050,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Star Earrings,0.30- 0.35,9000,3937,,668,7.5 mm,852070569,3111600854,49812d76c007fbad678132db11a0629e,1000,26913040968,69469637638,7.5mm,1734571402039362602,1734571465522250794,7.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Star Earrings,0.25 - 0.30,9000,3375,,668,5 mm,852070569,5208474119,bbb31821c8614c8a523fb5dbf24cf290,1000,26913040968,69469637637,5mm,1734571402039362602,1734571465522185258,5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Star Tictac,0.25 - 0.30 ,9000,3375,,668,5 mm,855956066,132744839354,f07dcfc331912dbe804382119b794403,1000,51407066883,108781098157,,1734601477560632362,1734601479638189098,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Cross Tictac,0.30 - 0.35,9000,3937,,668,8 mm,856118033,132749196798,583826438c12c78ae2778c9ac31b35d9,1000,52357055205,410629384895,,1734598835483345962,1734598859011228714,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Heart Tictac,0.35 - 0.40,9000,4500,,668,4.5mm,856150319,132749444425,c265ab43bbaed6c353551fb33876f668,1000,46257071917,244180558068,4.5mm,1734598398192092202,1734598562250392618,4.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Heart Tictac,0.45 - 0.50,9000,5625,,668,6mm,856150319,132749444426,873755847651ce10af12eff4690c0564,1000,46257071917,244180558069,6mm,1734598398192092202,1734598562250458154,6mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Ball Barbel 1mm (NO LOCK),0.05 - 0.08,9000,900,,668,1 PIECE,888314461,2836824081,0b271573cf6eb48c7975c92de229e0fb,1000,22362175508,217190988546,,1734489684734870570,1734489726224204842,1 PIECE,Gold Earrings (956808),999
,Earrings,Pawnable 18K Gold Mini Ball Barbel 1mm (NO LOCK),0.1 - 0.15,9000,1687,,668,1 PAIR,888314461,132637763714,ff3cbdd562f41d333c16b868da30ca10,1000,22362175508,217190988547,,1734489684734870570,1734489726224270378,1 PAIR,Gold Earrings (956808),998
,Earrings,Pawnable 18K Saudi Gold Evil Eye Ball Earrings,0.90 - 0.95,9000,10687,,FG,5 mm,906746583,132948635892,bccc9814060b30de55b3884ac5458ad9,6,26485541075,258343048744,,1734854157600982058,1734854521586353194,Default,Gold Earrings (956808),6
,Earrings,Pawnable 18K Gold Mini Ball Barbel 2mm (NO LOCK),0.05 - 0.08,9000,900,,668,1 PIECE,931456581,3026110917,e73465c5359254a3a9b1a5a2bcc066d1,997,16996856337,240070800184,,1734489772699845674,1734489794902262826,1 PIECE,Gold Earrings (956808),989
,Earrings,Pawnable 18K Gold Mini Ball Barbel 2mm (NO LOCK),0.1 - 0.15,9000,1687,,668,1 PAIR,931456581,132641634493,b55f6eae17093f09f3766bc27ba14a13,998,16996856337,240070800185,,1734489772699845674,1734489794902328362,1 PAIR,Gold Earrings (956808),996
